time,area
1978-11-01,9.04
1978-12-01,10.9
1979-01-01,12.41
1979-02-01,13.18
1979-03-01,13.21
1979-04-01,12.53
1979-05-01,11.11
1979-06-01,9.34
1979-07-01,6.69
1979-08-01,5.06
1979-09-01,4.58
1979-10-01,6.19
1979-11-01,8.37
1979-12-01,10.63
1980-01-01,11.94
1980-02-01,12.9
1980-03-01,12.99
1980-04-01,12.52
1980-05-01,10.96
1980-06-01,9.0
1980-07-01,6.53
1980-08-01,4.94
1980-09-01,4.87
1980-10-01,6.5
1980-11-01,8.73
1980-12-01,10.78
1981-01-01,11.91
1981-02-01,12.53
1981-03-01,12.71
1981-04-01,12.24
1981-05-01,10.99
1981-06-01,9.03
1981-07-01,6.31
1981-08-01,4.48
1981-09-01,4.44
1981-10-01,6.27
1981-11-01,8.31
1981-12-01,10.54
1982-01-01,12.19
1982-02-01,12.87
1982-03-01,13.07
1982-04-01,12.63
1982-05-01,11.17
1982-06-01,9.46
1982-07-01,6.87
1982-08-01,5.0
1982-09-01,4.43
1982-10-01,6.67
1982-11-01,9.06
1982-12-01,10.88
1983-01-01,12.01
1983-02-01,12.94
1983-03-01,12.93
1983-04-01,12.21
1983-05-01,10.87
1983-06-01,9.27
1983-07-01,6.86
1983-08-01,4.97
1983-09-01,4.7
1983-10-01,6.79
1983-11-01,8.99
1983-12-01,10.63
1984-01-01,11.68
1984-02-01,12.26
1984-03-01,12.55
1984-04-01,12.18
1984-05-01,10.88
1984-06-01,9.09
1984-07-01,6.3
1984-08-01,4.68
1984-09-01,4.11
1984-10-01,5.91
1984-11-01,8.24
1984-12-01,10.27
1985-01-01,11.69
1985-02-01,12.48
1985-03-01,12.75
1985-04-01,12.54
1985-05-01,11.25
1985-06-01,8.96
1985-07-01,5.99
1985-08-01,4.6
1985-09-01,4.23
1985-10-01,6.12
1985-11-01,8.42
1985-12-01,10.24
1986-01-01,11.88
1986-02-01,12.62
1986-03-01,12.72
1986-04-01,12.04
1986-05-01,10.7
1986-06-01,8.99
1986-07-01,6.62
1986-08-01,5.01
1986-09-01,4.72
1986-10-01,6.83
1986-11-01,8.87
1986-12-01,10.53
1987-01-01,11.9
1987-02-01,13.02
1987-03-01,12.83
1987-04-01,12.35
1987-05-01,10.97
1987-06-01,9.39
1987-07-01,6.55
1987-09-01,5.64
1987-10-01,7.49
1987-11-01,9.73
1988-02-01,13.57
1988-03-01,13.9
1988-04-01,13.18
1988-05-01,11.41
1988-06-01,9.68
1988-07-01,7.01
1988-08-01,5.42
1988-09-01,5.36
1988-10-01,7.52
1988-11-01,9.91
1988-12-01,11.99
1989-01-01,13.18
1989-02-01,13.36
1989-03-01,13.21
1989-04-01,12.36
1989-05-01,11.35
1989-06-01,9.95
1989-07-01,7.33
1989-08-01,5.56
1989-09-01,4.86
1989-10-01,6.96
1989-11-01,9.46
1989-12-01,11.61
1990-01-01,12.8
1990-02-01,13.42
1990-03-01,13.51
1990-04-01,12.28
1990-05-01,10.9
1990-06-01,9.2
1990-07-01,6.52
1990-08-01,4.99
1990-09-01,4.55
1990-10-01,6.74
1990-11-01,9.64
1990-12-01,11.47
1991-01-01,12.57
1991-02-01,13.22
1991-03-01,13.42
1991-04-01,12.87
1991-05-01,11.5
1991-06-01,9.66
1991-07-01,6.76
1991-08-01,5.21
1991-09-01,4.51
1991-10-01,6.75
1991-11-01,9.25
1991-12-01,11.19
1992-01-01,12.61
